"_","Id","Name","Donor_Name__c","Amount__c","Description__c","Fiscal_Year__c","Income_Budget__c","Income_Date__c","Income_Type__c","Payment_Type__c","Recurring_Donation__c"
"[Income_Transaction__c]","a03E100000UdFXaIAN","IN-000023","001E100000ZZ8BaIAL","500","","23/24_FY","","2023-07-02","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UdFz3IAF","IN-000022","001E100000ZZOzNIAX","2000","","23/24_FY","","2023-12-06","Recurring Donation","Zelle","a04E1000004FDnRIAW"
"[Income_Transaction__c]","a03E100000UdGnaIAF","IN-000024","001E100000ZZ8BaIAL","1000","","23/24_FY","","2023-09-12","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UdHkaIAF","IN-000025","001E100000ZZ8BaIAL","500","","23/24_FY","","2023-12-06","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UdIoxIAF","IN-000020","001E100000ZZ36xIAD","50","","23/24_FY","","2023-09-05","Recurring Donation","Paypal","a04E1000004FDlpIAG"
"[Income_Transaction__c]","a03E100000UdJvZIAV","IN-000026","001E100000ZZ8BaIAL","600","","23/24_FY","","2022-03-09","Recurring Donation","Cash","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UdRNvIAN","IN-000028","001E100000ZZ8BaIAL","136.92","","23/24_FY","","2023-04-11","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UddeYIAR","IN-000027","001E100000ZZ8BaIAL","650","","23/24_FY","","2023-03-13","Recurring Donation","Paypal","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UddwIIAR","IN-000021","001E100000ZZ36xIAD","250","","23/24_FY","","2023-09-14","Recurring Donation","Cash","a04E1000004FDlpIAG"
"[Income_Transaction__c]","a03E100000UmM8EIAV","IN-000032","","500","","23/24_FY","","2023-07-11","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnTUIIA3","IN-000029","","100","","23/24_FY","","2024-09-15","Recurring Donation","Check","a04E1000004HDPxIAO"
"[Income_Transaction__c]","a03E100000UnVElIAN","IN-000030","","100.5","","23/24_FY","","2023-07-07","Recurring Donation","Cash","a04E1000004HDo9IAG"
"[Income_Transaction__c]","a03E100000Unp3MIAR","IN-000045","","200","","23/24_FY","","2023-08-11","Recurring Donation","Zelle","a04E1000004HDWPIA4"
"[Income_Transaction__c]","a03E100000Unp3NIAR","IN-000046","","400","","23/24_FY","","2023-08-12","Recurring Donation","Zelle","a04E1000004HDWPIA4"
"[Income_Transaction__c]","a03E100000Unp3OIAR","IN-000047","","400","","23/24_FY","","2023-08-13","Recurring Donation","Zelle","a04E1000004HDWPIA4"
"[Income_Transaction__c]","a03E100000UnufjIAB","IN-000036","","250","","23/24_FY","","2023-07-20","Recurring Donation","Zelle","a04E1000004HDUnIAO"
"[Income_Transaction__c]","a03E100000Unxy7IAB","IN-000048","","500","","23/24_FY","","2024-06-25","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000Unxy8IAB","IN-000049","","150","","23/24_FY","","2024-06-26","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000Unxy9IAB","IN-000050","","400","","23/24_FY","","2024-06-27","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyAIAR","IN-000051","","400","","23/24_FY","","2024-06-28","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyBIAR","IN-000052","","250","","23/24_FY","","2024-06-29","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyCIAR","IN-000053","","250","","23/24_FY","","2024-06-30","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyDIAR","IN-000054","","250","","23/24_FY","","2024-07-01","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyEIAR","IN-000055","","250","","23/24_FY","","2024-07-02","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyFIAR","IN-000056","","250","","23/24_FY","","2024-07-03","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyGIAR","IN-000057","","25","","23/24_FY","","2024-07-04","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyHIAR","IN-000058","","130","","23/24_FY","","2024-07-05","Recurring Donation","Zelle","a04E1000004HDxpIAG"
"[Income_Transaction__c]","a03E100000UnxyIIAR","IN-000059","","450","","23/24_FY","","2024-07-06","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyJIAR","IN-000060","","450","","23/24_FY","","2024-07-07","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyKIAR","IN-000061","","450","","23/24_FY","","2024-07-08","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyLIAR","IN-000062","","450","","23/24_FY","","2024-07-09","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyMIAR","IN-000063","","450","","23/24_FY","","2024-07-10","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyNIAR","IN-000064","","450","","23/24_FY","","2024-07-11","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyOIAR","IN-000065","","450","","23/24_FY","","2024-07-12","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyPIAR","IN-000066","","450","","23/24_FY","","2024-07-13","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyQIAR","IN-000067","","450","","23/24_FY","","2024-07-14","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyRIAR","IN-000068","","450","","23/24_FY","","2024-07-15","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxySIAR","IN-000069","","450","","23/24_FY","","2024-07-16","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyTIAR","IN-000070","","450","","23/24_FY","","2024-07-17","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000UnxyUIAR","IN-000071","","200","","23/24_FY","","2024-07-18","Recurring Donation","Zelle","a04E1000004HDzRIAW"
"[Income_Transaction__c]","a03E100000UnxyVIAR","IN-000072","","250","","23/24_FY","","2024-07-19","Recurring Donation","Zelle","a04E1000004HDzRIAW"
"[Income_Transaction__c]","a03E100000UnxyWIAR","IN-000073","","100","","23/24_FY","","2024-07-20","Recurring Donation","Zelle","a04E1000004HDzRIAW"
"[Income_Transaction__c]","a03E100000Uo0loIAB","IN-000128","","2000","","23/24_FY","","2024-08-05","Recurring Donation","Zelle","a04E1000004FDnRIAW"
"[Income_Transaction__c]","a03E100000Uo4YcIAJ","IN-000031","","100","","23/24_FY","","2023-07-01","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000Uo6KaIAJ","IN-000033","","450","","23/24_FY","","2023-07-17","Recurring Donation","Zelle","a04E1000004H04ZIAS"
"[Income_Transaction__c]","a03E100000Uo6aUIAR","IN-000043","","862","","23/24_FY","","2023-07-25","Recurring Donation","Zelle","a04E1000004HDUnIAO"
"[Income_Transaction__c]","a03E100000Uo9q6IAB","IN-000034","001E100000ZoiA5IAJ","100","","23/24_FY","a02E100000DaW2GIAV","2023-07-17","","Zelle",""
"[Income_Transaction__c]","a03E100000Uo9urIAB","IN-000035","","250","","23/24_FY","","2023-07-20","Recurring Donation","Zelle","a04E1000004FDp3IAG"
"[Income_Transaction__c]","a03E100000UoBTkIAN","IN-000037","","250","","23/24_FY","","2023-07-20","Recurring Donation","Zelle","a04E1000004HDUnIAO"
"[Income_Transaction__c]","a03E100000UoBTlIAN","IN-000038","","750","","23/24_FY","","2023-07-21","Recurring Donation","Zelle","a04E1000004HDUnIAO"
"[Income_Transaction__c]","a03E100000UoBTmIAN","IN-000039","","250","","23/24_FY","","2023-07-22","Recurring Donation","Zelle","a04E1000004HDUnIAO"
"[Income_Transaction__c]","a03E100000UoBTnIAN","IN-000040","","250","","23/24_FY","","2023-07-23","Recurring Donation","Zelle","a04E1000004HDUnIAO"
"[Income_Transaction__c]","a03E100000UoBToIAN","IN-000041","","600","","23/24_FY","","2023-07-24","Recurring Donation","Zelle","a04E1000004HDUnIAO"
"[Income_Transaction__c]","a03E100000UoBTpIAN","IN-000042","","200","","23/24_FY","","2023-07-26","Recurring Donation","Zelle","a04E1000004HDUnIAO"
"[Income_Transaction__c]","a03E100000UoDTeIAN","IN-000044","","200","","23/24_FY","","2023-08-10","Recurring Donation","Zelle","a04E1000004HDWPIA4"
"[Income_Transaction__c]","a03E100000UoLZRIA3","IN-000074","","900","","23/24_FY","","2024-07-21","Recurring Donation","Zelle","a04E1000004HDzRIAW"
"[Income_Transaction__c]","a03E100000UoLZSIA3","IN-000075","","600","","23/24_FY","","2024-07-22","Recurring Donation","Zelle","a04E1000004HDzRIAW"
"[Income_Transaction__c]","a03E100000UoLZTIA3","IN-000076","","100","","23/24_FY","","2024-07-23","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZUIA3","IN-000077","","217","","23/24_FY","","2024-07-24","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZVIA3","IN-000078","","200","","23/24_FY","","2024-07-25","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZWIA3","IN-000079","","200","","23/24_FY","","2024-07-26","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZXIA3","IN-000080","","203","","23/24_FY","","2024-07-27","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZYIA3","IN-000081","","200","","23/24_FY","","2024-07-28","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZZIA3","IN-000082","","323","","23/24_FY","","2024-07-29","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZaIAN","IN-000083","","271","","23/24_FY","","2024-07-30","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZbIAN","IN-000084","","473","","23/24_FY","","2024-07-31","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZcIAN","IN-000085","","91","","23/24_FY","","2024-08-01","Recurring Donation","Cash","a04E1000004H7nbIAC"
"[Income_Transaction__c]","a03E100000UoLZdIAN","IN-000086","","500","","23/24_FY","","2024-08-02","Recurring Donation","Zelle","a04E1000004HDmXIAW"
"[Income_Transaction__c]","a03E100000UoLZeIAN","IN-000087","","500","","23/24_FY","","2024-08-03","Recurring Donation","Zelle","a04E1000004HDmXIAW"
"[Income_Transaction__c]","a03E100000UoLZfIAN","IN-000088","","450","","23/24_FY","","2024-08-04","Recurring Donation","Zelle","a04E1000004HDmXIAW"
"[Income_Transaction__c]","a03E100000UoLZgIAN","IN-000089","","450","","23/24_FY","","2024-08-06","Recurring Donation","Cash","a04E1000004FDnRIAW"
"[Income_Transaction__c]","a03E100000UoLZhIAN","IN-000090","","450","","23/24_FY","","2024-08-07","Recurring Donation","Zelle","a04E1000004HDY1IAO"
"[Income_Transaction__c]","a03E100000UoLZiIAN","IN-000091","","3.03","","23/24_FY","","2024-08-08","Recurring Donation","Zelle","a04E1000004HDplIAG"
"[Income_Transaction__c]","a03E100000UoLZjIAN","IN-000092","","600","","23/24_FY","","2024-08-09","Recurring Donation","Cash","a04E1000004HDrNIAW"
"[Income_Transaction__c]","a03E100000UoLZkIAN","IN-000093","","600","","23/24_FY","","2024-08-10","Recurring Donation","Cash","a04E1000004HDrNIAW"
"[Income_Transaction__c]","a03E100000UoLZlIAN","IN-000094","","600","","23/24_FY","","2024-08-11","Recurring Donation","Cash","a04E1000004HDrNIAW"
"[Income_Transaction__c]","a03E100000UoLZmIAN","IN-000095","","900","","23/24_FY","","2024-08-12","Recurring Donation","Zelle","a04E1000004HDrNIAW"
"[Income_Transaction__c]","a03E100000UoLZnIAN","IN-000096","","450","","23/24_FY","","2024-08-13","Recurring Donation","Zelle","a04E1000004HDrNIAW"
"[Income_Transaction__c]","a03E100000UoLZoIAN","IN-000097","","100","","23/24_FY","","2024-08-14","Recurring Donation","Zelle","a04E1000004H1OoIAK"
"[Income_Transaction__c]","a03E100000UoLZpIAN","IN-000098","","100","","23/24_FY","","2024-08-15","Recurring Donation","Zelle","a04E1000004H1OoIAK"
"[Income_Transaction__c]","a03E100000UoLZqIAN","IN-000099","","100","","23/24_FY","","2024-08-16","Recurring Donation","Zelle","a04E1000004H1OoIAK"
"[Income_Transaction__c]","a03E100000UoLZrIAN","IN-000100","","100","","23/24_FY","","2024-08-17","Recurring Donation","Zelle","a04E1000004H1OoIAK"
"[Income_Transaction__c]","a03E100000UoLZsIAN","IN-000101","","100","","23/24_FY","","2024-08-18","Recurring Donation","Cash","a04E1000004HDo9IAG"
"[Income_Transaction__c]","a03E100000UoLZtIAN","IN-000102","","500","","23/24_FY","","2024-08-19","Recurring Donation","Cash","a04E1000004HDo9IAG"
"[Income_Transaction__c]","a03E100000UoLZuIAN","IN-000103","","1.3","","23/24_FY","","2024-08-20","Recurring Donation","Cash","a04E1000004HDo9IAG"
"[Income_Transaction__c]","a03E100000UoLZvIAN","IN-000104","","54","","23/24_FY","","2024-08-21","Recurring Donation","Cash","a04E1000004HDo9IAG"
"[Income_Transaction__c]","a03E100000UoLZwIAN","IN-000105","","250","","23/24_FY","","2024-08-22","Recurring Donation","Cash","a04E1000004HDo9IAG"
"[Income_Transaction__c]","a03E100000UoLZxIAN","IN-000106","","128","","23/24_FY","","2024-08-23","Recurring Donation","Cash","a04E1000004HDo9IAG"
"[Income_Transaction__c]","a03E100000UoLZyIAN","IN-000107","","100","","23/24_FY","","2024-08-24","Recurring Donation","Cash","a04E1000004HDPxIAO"
"[Income_Transaction__c]","a03E100000UoLZzIAN","IN-000108","","100","","23/24_FY","","2024-08-25","Recurring Donation","Cash","a04E1000004HDPxIAO"
"[Income_Transaction__c]","a03E100000UoLa0IAF","IN-000109","","300","","23/24_FY","","2024-08-26","Recurring Donation","Zelle","a04E1000004HDPxIAO"
"[Income_Transaction__c]","a03E100000UoLa1IAF","IN-000110","","400","","23/24_FY","","2024-08-27","Recurring Donation","Zelle","a04E1000004HDPxIAO"
"[Income_Transaction__c]","a03E100000UoLa2IAF","IN-000111","","300","","23/24_FY","","2024-08-28","Recurring Donation","Zelle","a04E1000004HDPxIAO"
"[Income_Transaction__c]","a03E100000UoLa3IAF","IN-000112","","200","","23/24_FY","","2024-08-29","Recurring Donation","Zelle","a04E1000004FDqfIAG"
"[Income_Transaction__c]","a03E100000UoLa4IAF","IN-000113","","200","","23/24_FY","","2024-08-30","Recurring Donation","Zelle","a04E1000004FDqfIAG"
"[Income_Transaction__c]","a03E100000UoLa5IAF","IN-000114","","200","","23/24_FY","","2024-08-31","Recurring Donation","Zelle","a04E1000004FDqfIAG"
"[Income_Transaction__c]","a03E100000UoLa6IAF","IN-000115","","300","","23/24_FY","","2024-09-01","Recurring Donation","Zelle","a04E1000004FDqfIAG"
"[Income_Transaction__c]","a03E100000UoLa7IAF","IN-000116","","300","","23/24_FY","","2024-09-02","Recurring Donation","Zelle","a04E1000004FDqfIAG"
"[Income_Transaction__c]","a03E100000UoLa8IAF","IN-000117","","500","","23/24_FY","","2024-09-03","Recurring Donation","Zelle","a04E1000004HDszIAG"
"[Income_Transaction__c]","a03E100000UoLa9IAF","IN-000118","","800","","23/24_FY","","2024-09-04","Recurring Donation","Zelle","a04E1000004HDszIAG"
"[Income_Transaction__c]","a03E100000UoLaAIAV","IN-000119","","200","","23/24_FY","","2024-09-05","Recurring Donation","Zelle","a04E1000004HDszIAG"
"[Income_Transaction__c]","a03E100000UoLaBIAV","IN-000120","","200","","23/24_FY","","2024-09-06","Recurring Donation","Zelle","a04E1000004HDszIAG"
"[Income_Transaction__c]","a03E100000UoLaCIAV","IN-000121","","85","","23/24_FY","","2024-09-07","Recurring Donation","Zelle","a04E1000004HDszIAG"
"[Income_Transaction__c]","a03E100000UoLaDIAV","IN-000122","","250","","23/24_FY","","2024-09-08","Recurring Donation","Zelle","a04E1000004HG9JIAW"
"[Income_Transaction__c]","a03E100000UoLaEIAV","IN-000123","","475","","23/24_FY","","2024-09-09","Recurring Donation","Zelle","a04E1000004HG9JIAW"
"[Income_Transaction__c]","a03E100000UoLaFIAV","IN-000124","","250","","23/24_FY","","2024-09-10","Recurring Donation","Zelle","a04E1000004HG9JIAW"
"[Income_Transaction__c]","a03E100000UoLaGIAV","IN-000125","","475","","23/24_FY","","2024-09-11","Recurring Donation","Zelle","a04E1000004HG9JIAW"
"[Income_Transaction__c]","a03E100000UoLaHIAV","IN-000126","","500","","23/24_FY","","2024-09-12","Recurring Donation","Zelle","a04E1000004HG9JIAW"
"[Income_Transaction__c]","a03E100000UoLaIIAV","IN-000127","","250","","23/24_FY","","2024-09-13","Recurring Donation","Zelle","a04E1000004HG9JIAW"
"[Income_Transaction__c]","a03E100000V1gcpIAB","IN-000129","001E100000a4wFBIAY","4000","","23/24_FY","a02E100000Dftw9IAB","2023-10-12","Others","Check",""